OBJECTID,Incident_Num,Shooting_Date,District,Shooting_Type_V2,Victim_Gender,Victim_Race,Victim_Ethnicity_NIBRS,Multi_Victim,IsPrimaryIncident,HOUR_OF_DAY,DAY_OF_WEEK,YEAR,QUARTER,MONTH,NEIGHBORHOOD
4247,202061776,2020/08/26 20:21:00+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,16,4,2020,3,8,Roxbury
4248,202061868,2020/08/27 02:43:00+00,C11,Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,22,4,2020,3,8,Dorchester
4249,202062150,2020/08/28 03:30:00+00,E18,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,23,5,2020,3,8,Hyde Park
4250,202062720,2020/08/30 06:40:00+00,B3,Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,2,1,2020,3,8,Dorchester
4251,202062950,2020/08/31 02:42:00+00,A7,Non-Fatal,Male,Black or African American,Hispanic or Latinx,0,1,22,1,2020,3,8,East Boston
4252,202062983,2020/08/31 04:42:00+00,E18,Non-Fatal,Male,Black or African American,Hispanic or Latinx,1,1,0,2,2020,3,8,Roslindale
4253,202062983,2020/08/31 04:42:00+00,E18,Non-Fatal,Male,White,Hispanic or Latinx,1,0,0,2,2020,3,8,Roslindale
4254,202062978,2020/08/31 04:27:00+00,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,0,2,2020,3,8,Dorchester
4255,202064687,2020/09/05 21:29:39+00,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,17,7,2020,3,9,Dorchester
4256,202064507,2020/09/05 03:13:29+00,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,23,6,2020,3,9,Dorchester
4257,202064647,2020/09/05 18:20:37+00,E18,Non-Fatal,Male,White,Hispanic or Latinx,0,1,14,7,2020,3,9,Hyde Park
4258,202064756,2020/09/06 00:56:43+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,20,7,2020,3,9,Roxbury
4259,202064764,2020/09/06 02:21:58+00,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,22,7,2020,3,9,Dorchester
4260,202064760,2020/09/06 02:29:48+00,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,22,7,2020,3,9,Dorchester
4261,202064786,2020/09/06 04:01:49+00,E18,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,0,1,2020,3,9,Hyde Park
4262,202064795,2020/09/06 05:56:51+00,B2,Non-Fatal,Male,Black or African American,Hispanic or Latinx,0,1,1,1,2020,3,9,Dorchester
4263,202064913,2020/09/06 19:43:41+00,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,15,1,2020,3,9,Dorchester
4264,202065181,2020/09/07 20:13:00+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,16,2,2020,3,9,Mission Hill
4265,202065268,2020/09/08 03:03:18+00,C6,Non-Fatal,Male,Black or African American,Hispanic or Latinx,0,1,23,2,2020,3,9,South Boston
4266,202065280,2020/09/08 04:30:00+00,C11,Non-Fatal,Male,Black or African American,Hispanic or Latinx,0,1,0,3,2020,3,9,Dorchester
4267,202068185,2020/09/17 23:28:00+00,A15,Fatal,Male,Unknown,Unknown,1,1,19,5,2020,3,9,Charlestown
4268,202068185,2020/09/17 23:28:00+00,A15,Fatal,Male,Black or African American,Hispanic or Latinx,1,0,19,5,2020,3,9,Charlestown
4269,202069241,2020/09/22 00:08:00+00,E5,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,20,2,2020,3,9,Roslindale
4270,202068459,2020/09/18 23:45:00+00,D4,Fatal,Male,Black or African American,Hispanic or Latinx,1,1,19,6,2020,3,9,Roxbury
4271,202068459,2020/09/18 23:45:00+00,D4,Non-Fatal,Male,White,Hispanic or Latinx,1,0,19,6,2020,3,9,Roxbury
4272,202068459,2020/09/18 23:45:00+00,D4,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,1,0,19,6,2020,3,9,Roxbury
4273,202068361,2020/09/18 18:15:00+00,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,14,6,2020,3,9,Dorchester
4274,202068706,2020/09/18 23:24:00+00,D14,Non-Fatal,Male,Unknown,Unknown,0,1,19,6,2020,3,9,Brighton
4275,202068747,2020/09/20 01:50:00+00,D4,Non-Fatal,Female,Black or African American,Not Hispanic or Latinx,0,1,21,7,2020,3,9,South End
4276,202069497,2020/09/23 00:08:00+00,E18,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,20,3,2020,3,9,Hyde Park
4277,202069804,2020/09/24 02:16:00+00,E18,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,22,4,2020,3,9,Hyde Park
4278,202070078,2020/09/25 02:03:30+00,B2,Non-Fatal,Male,Black or African American,Hispanic or Latinx,0,1,22,5,2020,3,9,Dorchester
4279,202070114,2020/09/25 05:15:00+00,C6,Non-Fatal,Male,White,Hispanic or Latinx,0,1,1,6,2020,3,9,South Boston
4280,202070693,2020/09/27 05:17:00+00,C11,Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,1,1,2020,3,9,Dorchester
4281,202070405,2020/09/26 05:15:00+00,B3,Non-Fatal,Male,White,Not Hispanic or Latinx,0,1,1,7,2020,3,9,Dorchester
4282,202071598,2020/09/30 03:00:00+00,E5,Non-Fatal,Male,White,Hispanic or Latinx,0,1,23,3,2020,3,9,West Roxbury
4283,202071462,2020/09/29 18:50:00+00,B3,Non-Fatal,Male,Black or African American,Hispanic or Latinx,0,1,14,3,2020,3,9,Dorchester
4284,202072972,2020/10/05 00:23:00+00,E5,Non-Fatal,Male,Unknown,Unknown,0,1,20,1,2020,4,10,Roslindale
4285,202072660,2020/10/01 06:00:00+00,C11,Non-Fatal,Male,White,Not Hispanic or Latinx,0,1,2,5,2020,4,10,Dorchester
4286,202072285,2020/10/02 16:33:00+00,B3,Non-Fatal,Male,White,Hispanic or Latinx,0,1,12,6,2020,4,10,Dorchester
4287,202074518,2020/10/11 03:43:59+00,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,23,7,2020,4,10,Dorchester
4288,202075514,2020/10/14 01:25:41+00,B3,Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,21,3,2020,4,10,Dorchester
4289,202075740,2020/10/14 21:24:36+00,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,17,4,2020,4,10,Dorchester
4290,202076328,2020/10/16 19:29:00+00,C11,Non-Fatal,Male,White,Hispanic or Latinx,0,1,15,6,2020,4,10,Dorchester
4291,202077480,2020/10/21 00:09:00+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,20,3,2020,4,10,Roxbury
4292,202077762,2020/10/21 22:45:00+00,E13,Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,18,4,2020,4,10,Jamaica Plain
4293,202078143,2020/10/23 02:52:00+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,1,1,22,5,2020,4,10,Dorchester
4294,202078143,2020/10/23 02:52:00+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,1,0,22,5,2020,4,10,Dorchester
4295,202078143,2020/10/23 02:52:00+00,B2,Non-Fatal,Female,Black or African American,Hispanic or Latinx,1,0,22,5,2020,4,10,Dorchester
4296,202078143,2020/10/23 02:52:00+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,1,0,22,5,2020,4,10,Dorchester
4297,202078749,2020/10/25 04:09:00+00,B2,Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,0,1,2020,4,10,Roxbury
4298,202078757,2020/10/25 05:29:00+00,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,1,1,2020,4,10,Dorchester
4299,202078214,2020/10/23 14:23:00+00,B2,Non-Fatal,Male,White,Not Hispanic or Latinx,0,1,10,6,2020,4,10,Mission Hill
4300,202079474,2020/10/27 18:46:00+00,B2,Non-Fatal,Male,Black or African American,Hispanic or Latinx,0,1,14,3,2020,4,10,Roxbury
4301,202079594,2020/10/28 01:33:00+00,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,21,3,2020,4,10,Mattapan
4302,202080693,2020/11/01 07:29:00+00,E18,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,2,1,2020,4,11,Hyde Park
4303,202079520,2020/10/27 19:54:00+00,D4,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,15,3,2020,4,10,Back Bay
4304,202081438,2020/11/04 08:20:00+00,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,3,4,2020,4,11,Dorchester
4305,202081374,2020/11/04 00:30:00+00,C6,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,19,3,2020,4,11,South Boston
4306,I152082012,2015/10/02 22:12:00+00,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,18,6,2015,4,10,Dorchester
4307,202081301,2020/11/03 19:46:00+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,14,3,2020,4,11,Roxbury
4308,P200559783,2020/11/06 04:22:00+00,B2,Non-Fatal,Female,Black or African American,Not Hispanic or Latinx,0,1,23,5,2020,4,11,Mission Hill
4309,202082464,2020/11/08 05:38:00+00,B3,Non-Fatal,Male,White,Hispanic or Latinx,1,1,0,1,2020,4,11,Dorchester
4310,202082464,2020/11/08 05:38:00+00,B3,Non-Fatal,Male,Black or African American,Hispanic or Latinx,1,0,0,1,2020,4,11,Dorchester
4311,202082464,2020/11/08 05:38:00+00,B3,Non-Fatal,Male,Unknown,Unknown,1,0,0,1,2020,4,11,Dorchester
4312,202082172,2020/11/07 04:00:00+00,E13,Fatal,Male,White,Hispanic or Latinx,1,1,23,6,2020,4,11,Jamaica Plain
4313,202082172,2020/11/07 04:00:00+00,E13,Non-Fatal,Male,White,Hispanic or Latinx,1,0,23,6,2020,4,11,Jamaica Plain
4314,202082172,2020/11/07 04:00:00+00,E13,Non-Fatal,Male,White,Hispanic or Latinx,1,0,23,6,2020,4,11,Jamaica Plain
4315,202082690,2020/11/09 05:32:00+00,D14,Non-Fatal,Male,Unknown,Unknown,1,1,0,2,2020,4,11,Brighton
4316,202082690,2020/11/09 05:32:00+00,D14,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,1,0,0,2,2020,4,11,Brighton
4317,202082690,2020/11/09 05:32:00+00,D14,Non-Fatal,Male,White,Not Hispanic or Latinx,1,0,0,2,2020,4,11,Brighton
4318,202082657,2020/11/09 02:42:00+00,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,1,1,21,1,2020,4,11,Mattapan
4319,202082657,2020/11/09 02:42:00+00,B3,Non-Fatal,Male,Unknown,Unknown,1,0,21,1,2020,4,11,Mattapan
4320,202082187,2020/11/07 05:37:00+00,C11,Non-Fatal,Male,Black or African American,Hispanic or Latinx,0,1,0,7,2020,4,11,Dorchester
4321,202082190,2020/11/07 05:57:00+00,B2,Non-Fatal,Male,Black or African American,Hispanic or Latinx,0,1,0,7,2020,4,11,Roxbury
4322,202082631,2020/11/09 00:30:00+00,B2,Non-Fatal,Female,Black or African American,Hispanic or Latinx,0,1,19,1,2020,4,11,Roxbury
4323,202083761,2020/11/13 00:04:00+00,E18,Non-Fatal,Male,White,Not Hispanic or Latinx,0,1,19,5,2020,4,11,Roslindale
4324,202084481,2020/11/16 03:04:00+00,E18,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,22,1,2020,4,11,Mattapan
4325,202084756,2020/11/17 03:12:00+00,E18,Fatal,Male,White,Hispanic or Latinx,0,1,22,2,2020,4,11,Hyde Park
4326,202086319,2020/11/23 01:15:00+00,E13,Non-Fatal,Female,Unknown,Unknown,0,1,20,1,2020,4,11,Jamaica Plain
4327,202086079,2020/11/21 22:52:00+00,C11,Non-Fatal,Male,White,Hispanic or Latinx,0,1,17,7,2020,4,11,Dorchester
4328,202087123,2020/11/26 04:10:16+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,23,4,2020,4,11,Roxbury
4329,202087271,2020/11/27 04:30:07+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,23,5,2020,4,11,Mission Hill
4330,202088035,2020/11/30 18:30:00+00,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,13,2,2020,4,11,Dorchester
4331,202088466,2020/12/02 01:30:00+00,C11,Non-Fatal,Male,Black or African American,Hispanic or Latinx,0,1,20,3,2020,4,12,Dorchester
4332,202089065,2020/12/04 07:16:00+00,C11,Non-Fatal,Male,Unknown,Unknown,0,1,2,6,2020,4,12,Dorchester
4333,202089501,2020/12/06 00:46:00+00,B3,Non-Fatal,Female,Black or African American,Not Hispanic or Latinx,0,1,19,7,2020,4,12,Dorchester
4334,202089435,2020/12/05 19:40:00+00,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,14,7,2020,4,12,Dorchester
4335,202089242,2020/12/04 22:14:00+00,A7,Non-Fatal,Male,White,Not Hispanic or Latinx,0,1,17,6,2020,4,12,East Boston
4336,202090270,2020/12/09 08:04:00+00,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,3,4,2020,4,12,Dorchester
4337,202090503,2020/12/10 04:39:00+00,E18,Non-Fatal,Male,Black or African American,Hispanic or Latinx,0,1,23,4,2020,4,12,Hyde Park
4338,202090764,2020/12/11 03:21:12+00,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,22,5,2020,4,12,Dorchester
4339,202090771,2020/12/11 05:43:08+00,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,0,6,2020,4,12,Dorchester
4340,202091439,2020/12/14 00:30:06+00,E18,Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,19,1,2020,4,12,Hyde Park
4341,202092123,2020/12/16 21:33:00+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,16,4,2020,4,12,Dorchester
4342,202093583,2020/12/22 23:38:00+00,E5,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,1,1,18,3,2020,4,12,Roslindale
4343,202093583,2020/12/22 23:38:00+00,E5,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,1,0,18,3,2020,4,12,Roslindale
4344,202094487,2020/12/27 06:48:19+00,B3,Non-Fatal,Male,White,Hispanic or Latinx,0,1,1,1,2020,4,12,Mattapan
4345,212000179,2021/01/01 22:37:00+00,B2,Non-Fatal,Female,Black or African American,Hispanic or Latinx,0,1,17,6,2021,1,1,Dorchester
4346,212000130,2021/01/01 17:47:00+00,E18,Non-Fatal,Male,Black or African American,Hispanic or Latinx,0,1,12,6,2021,1,1,Hyde Park
4347,212000047,2021/01/01 09:42:00+00,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,4,6,2021,1,1,Mattapan
4348,212001090,2021/01/06 17:26:00+00,B3,Fatal,Male,Black or African American,Hispanic or Latinx,0,1,12,4,2021,1,1,Mattapan
4349,212003106,2021/01/15 02:13:00+00,C11,Non-Fatal,Male,Black or African American,Hispanic or Latinx,0,1,21,5,2021,1,1,Dorchester
4350,212003327,2021/01/15 23:47:00+00,B3,Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,18,6,2021,1,1,Dorchester
4351,212003704,2021/01/17 23:15:00+00,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,18,1,2021,1,1,Dorchester
4352,212004677,2021/01/22 17:30:00+00,C11,Fatal,Female,Black or African American,Not Hispanic or Latinx,0,1,12,6,2021,1,1,Dorchester
4353,212007684,2021/02/05 03:03:00+00,B3,Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,22,5,2021,1,2,Dorchester
4354,212008158,2021/02/07 03:48:00+00,E13,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,22,7,2021,1,2,Jamaica Plain
4355,212009008,2021/02/11 01:48:00+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,20,4,2021,1,2,Roxbury
4356,212009034,2021/02/11 05:15:00+00,D4,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,0,5,2021,1,2,Roxbury
4357,212009692,2021/02/14 00:30:00+00,E13,Non-Fatal,Male,Unknown,Unknown,0,1,19,7,2021,1,2,Jamaica Plain
4358,212011290,2021/02/21 07:40:00+00,E18,Non-Fatal,Male,Black or African American,Hispanic or Latinx,0,1,2,1,2021,1,2,Hyde Park
4359,212011355,2021/02/21 19:06:00+00,B2,Non-Fatal,Male,White,Hispanic or Latinx,0,1,14,1,2021,1,2,Roxbury
4360,212012349,2021/02/25 23:22:00+00,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,18,5,2021,1,2,Dorchester
4361,212014051,2021/03/05 02:29:00+00,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,21,5,2021,1,3,Dorchester
4362,212014694,2021/03/08 01:42:00+00,E13,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,20,1,2021,1,3,Roxbury
4363,212014948,2021/03/09 02:02:00+00,C6,Non-Fatal,Male,White,Not Hispanic or Latinx,0,1,21,2,2021,1,3,South Boston
4364,212015585,2021/03/11 19:52:00+00,E18,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,14,5,2021,1,3,Hyde Park
4365,212017427,2021/03/19 04:07:00+00,B2,Non-Fatal,Male,Unknown,Unknown,0,1,0,6,2021,1,3,Roxbury
4366,212017827,2021/03/20 20:25:00+00,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,16,7,2021,1,3,Dorchester
4367,212017718,2021/03/20 07:21:00+00,A15,Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,3,7,2021,1,3,Charlestown
4368,212018335,2021/03/22 21:08:00+00,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,17,2,2021,1,3,Dorchester
4369,212019752,2021/03/28 08:32:00+00,C6,Non-Fatal,Male,White,Not Hispanic or Latinx,0,1,4,1,2021,1,3,South Boston
4370,212019379,2021/03/25 21:33:00+00,B2,Non-Fatal,Male,White,Hispanic or Latinx,0,1,17,5,2021,1,3,Dorchester
4371,212020442,2021/03/31 05:24:00+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,1,4,2021,1,3,Dorchester
4372,212020253,2021/03/30 16:18:00+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,12,3,2021,1,3,Dorchester
4373,212020978,2021/04/01 04:00:00+00,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,0,5,2021,2,4,Mattapan
4374,212021216,2021/04/03 05:22:00+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,1,7,2021,2,4,Dorchester
4375,212023091,2021/04/10 21:56:00+00,C11,Fatal,Female,Black or African American,Not Hispanic or Latinx,0,1,17,7,2021,2,4,Dorchester
4376,212022933,2021/04/10 01:59:00+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,1,1,21,6,2021,2,4,Roxbury
4377,212022933,2021/04/10 01:59:00+00,B2,Non-Fatal,Female,Black or African American,Not Hispanic or Latinx,1,0,21,6,2021,2,4,Roxbury
4378,212023645,2021/04/13 00:22:00+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,20,2,2021,2,4,Roxbury
4379,212023896,2021/04/13 23:04:00+00,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,19,3,2021,2,4,Dorchester
4380,212024157,2021/04/14 22:34:00+00,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,18,4,2021,2,4,Dorchester
4381,212024344,2021/04/15 17:50:00+00,B2,Non-Fatal,Male,Black or African American,Hispanic or Latinx,0,1,13,5,2021,2,4,Dorchester
4382,212024632,2021/04/16 23:06:00+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,19,6,2021,2,4,Roxbury
4383,212025292,2021/04/19 22:49:00+00,E18,Non-Fatal,Male,Black or African American,Hispanic or Latinx,0,1,18,2,2021,2,4,Hyde Park
4384,212025339,2021/04/20 01:11:00+00,C6,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,21,2,2021,2,4,South Boston
4385,212025545,2021/04/20 22:39:00+00,C6,Non-Fatal,Female,Black or African American,Not Hispanic or Latinx,0,1,18,3,2021,2,4,South Boston
4386,212026089,2021/04/23 04:23:00+00,C11,Non-Fatal,Male,Unknown,Unknown,0,1,0,6,2021,2,4,Dorchester
4387,212026804,2021/04/26 01:59:00+00,C11,Non-Fatal,Male,Unknown,Unknown,0,1,21,1,2021,2,4,Dorchester
4388,212026582,2021/04/25 04:16:00+00,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,1,1,0,1,2021,2,4,Dorchester
4389,212026582,2021/04/25 04:16:00+00,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,1,0,0,1,2021,2,4,Dorchester
4390,212026560,2021/04/25 01:42:00+00,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,21,7,2021,2,4,Mattapan
4391,212026594,2021/04/25 05:06:00+00,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,1,1,2021,2,4,Dorchester
4392,212027556,2021/04/28 22:44:00+00,B2,Non-Fatal,Male,White,Hispanic or Latinx,0,1,18,4,2021,2,4,Dorchester
4393,212028492,2021/05/02 23:22:00+00,B3,Non-Fatal,Female,Unknown,Hispanic or Latinx,0,1,19,1,2021,2,5,Dorchester
4394,212029313,2021/05/06 05:00:00+00,B2,Non-Fatal,Female,White,Hispanic or Latinx,0,1,1,5,2021,2,5,Roxbury
4395,212031599,2021/05/15 01:18:32+00,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,21,6,2021,2,5,Dorchester
4396,212031605,2021/05/15 01:16:00+00,D4,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,21,6,2021,2,5,Roxbury
4397,212031608,2021/05/15 02:09:14+00,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,22,6,2021,2,5,Dorchester
4398,212031495,2021/05/14 17:11:36+00,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,13,6,2021,2,5,Mattapan
4399,212032369,2021/05/17 23:20:30+00,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,19,2,2021,2,5,Mattapan
4400,212032657,2021/05/19 00:38:00+00,B2,Non-Fatal,Male,Black or African American,Hispanic or Latinx,0,1,20,3,2021,2,5,Mission Hill
4401,212033817,2021/05/23 02:00:51+00,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,22,7,2021,2,5,Dorchester
4402,212033989,2021/05/23 20:25:24+00,D4,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,16,1,2021,2,5,Roxbury
4403,212033400,2021/05/21 17:45:32+00,A1,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,13,6,2021,2,5,Downtown
4404,212034069,2021/05/24 02:48:58+00,B2,Fatal,Male,Unknown,Unknown,1,1,22,1,2021,2,5,Dorchester
4405,212034069,2021/05/24 02:48:08+00,B2,Non-Fatal,Male,White,Hispanic or Latinx,1,0,22,1,2021,2,5,Dorchester
4406,212034069,2021/05/24 02:48:41+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,1,0,22,1,2021,2,5,Dorchester
4407,212034323,2021/05/25 02:04:44+00,B3,Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,22,2,2021,2,5,Dorchester
4408,212034237,2021/05/24 20:20:20+00,C11,Non-Fatal,Male,White,Not Hispanic or Latinx,0,1,16,2,2021,2,5,Dorchester
4409,212035261,2021/05/28 06:56:00+00,B3,Non-Fatal,Male,,,0,1,2,6,2021,2,5,Mattapan
4410,212035337,2021/05/29 03:52:17+00,B3,Fatal,Male,,Hispanic or Latinx,0,1,23,6,2021,2,5,Dorchester
4411,212036459,2021/06/02 06:58:37+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,2,4,2021,2,6,Roxbury
4412,212036612,2021/06/02 20:22:47+00,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,16,4,2021,2,6,Dorchester
4413,212037273,2021/06/05 03:16:19+00,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,23,6,2021,2,6,Dorchester
4414,212037834,2021/06/07 03:11:17+00,D4,Non-Fatal,Male,White,Hispanic or Latinx,0,1,23,1,2021,2,6,South End
4415,212038114,2021/06/08 00:46:59+00,B2,Fatal,Male,Black or African American,Unknown,0,1,20,2,2021,2,6,Mission Hill
4416,212038321,2021/06/08 19:53:00+00,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,15,3,2021,2,6,Mattapan
4417,212038333,2021/06/08 20:20:00+00,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,16,3,2021,2,6,Mattapan
4418,212038390,2021/06/09 00:00:00+00,C6,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,1,0,20,3,2021,2,6,South Boston
4419,212038390,2021/06/09 00:00:00+00,C6,Non-Fatal,Male,White,Unknown,1,1,20,3,2021,2,6,South Boston
4420,212038681,2021/06/10 05:08:18+00,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,1,5,2021,2,6,Dorchester
4421,212039196,2021/06/12 00:41:08+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,20,6,2021,2,6,Roxbury
4422,212039858,2021/06/14 17:52:45+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,13,2,2021,2,6,Mission Hill
4423,212040044,2021/06/15 05:13:36+00,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,1,3,2021,2,6,Mattapan
4424,212040965,2021/06/18 04:46:00+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,0,6,2021,2,6,Dorchester
4425,212041475,2021/06/20 00:54:27+00,D14,Non-Fatal,Male,White,Hispanic or Latinx,0,1,20,7,2021,2,6,Allston
4426,212041733,2021/06/21 00:36:59+00,B2,Fatal,Male,Black or African American,Not Hispanic or Latinx,1,1,20,1,2021,2,6,Roxbury
4427,212041733,2021/06/21 00:36:51+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,1,0,20,1,2021,2,6,Roxbury
4428,212043018,2021/06/25 05:28:00+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,1,6,2021,2,6,Dorchester
4429,212043505,2021/06/27 00:08:12+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,20,7,2021,2,6,Roxbury
4430,212043607,2021/06/27 09:06:22+00,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,5,1,2021,2,6,Mattapan
4431,212043285,2021/06/26 05:13:32+00,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,1,7,2021,2,6,Mattapan
4432,212043809,2021/06/28 05:20:07+00,B2,Non-Fatal,Male,Black or African American,Hispanic or Latinx,0,1,1,2,2021,2,6,Roxbury
4433,212044094,2021/06/29 03:18:00+00,B2,Non-Fatal,Male,Black or African American,Hispanic or Latinx,0,1,23,2,2021,2,6,Roxbury
4434,212044118,2021/06/29 07:47:00+00,B3,Non-Fatal,Male,White,Hispanic or Latinx,0,1,3,3,2021,2,6,Mattapan
